id,x,y,tier,cluster
0,1.9704,2.42325,3,0
1,1.98046,2.45627,3,0
2,1.97918,2.44983,3,0
3,1.99523,2.42203,3,0
4,1.94411,2.47593,3,0
5,1.99299,2.43841,3,0
6,1.99908,2.44277,3,0
7,1.96926,2.40975,3,0
8,2.00764,2.43832,3,0
9,1.98562,2.4211,3,0
10,1.98969,2.40461,3,0
11,1.95684,2.43326,3,0
12,2.00066,2.45793,3,0
13,1.9682,2.47162,3,0
14,1.93527,2.4815,3,0
15,1.99155,2.4464,3,0
16,1.95298,2.45313,3,0
17,1.96776,2.48151,3,0
18,0.883843,0.532357,1,22
19,1.99316,2.44827,3,0
20,1.9769,2.46532,3,0
21,1.95086,2.44335,3,0
22,1.99773,2.46994,3,0
23,1.92586,2.43278,3,0
24,1.99372,2.45549,3,0
25,1.99192,2.45697,3,0
26,2.01692,2.43133,3,0
27,2.00983,2.46071,3,0
28,1.98707,2.43146,3,0
29,1.97734,2.41336,3,0
30,1.94106,2.4315,3,0
31,1.95901,2.46855,3,0
32,1.99151,2.4869,3,0
33,1.96531,2.41645,3,0
34,1.99427,2.43378,3,0
35,1.95564,2.47082,3,0
36,1.97983,2.41958,3,0
37,1.97306,2.4541,3,0
38,1.96843,2.43349,3,0
39,1.94239,2.42015,3,0
40,1.96708,2.43444,3,0
41,1.96,2.44312,3,0
42,1.99781,2.45422,3,0
43,1.96439,2.45391,3,0
44,1.99505,2.43113,3,0
45,1.981,2.39264,3,0
46,1.96784,2.44909,3,0
47,2.00235,2.4177,3,0
48,1.97106,2.42368,3,0
49,1.97947,2.47537,3,0
50,1.94224,2.43544,3,0
51,1.95626,2.45539,3,0
52,1.98279,2.44559,3,0
53,1.98659,2.47276,3,0
54,1.97865,2.4393,3,0
55,1.93613,2.44997,3,0
56,1.97073,2.46802,3,0
57,2.00515,2.43794,3,0
58,1.99456,2.44,3,0
59,1.96621,2.44878,3,0
60,1.97693,2.44249,3,0
61,1.97438,2.42041,3,0
62,1.97444,2.44682,3,0
63,1.99597,2.45483,3,0
64,1.99582,2.46049,3,0
65,1.95797,2.42339,3,0
66,1.99868,2.45319,3,0
67,1.99221,2.44738,3,0
68,1.95517,2.46724,3,0
69,1.9831,2.44485,3,0
70,1.9525,2.44456,3,0
71,1.95117,2.45112,3,0
72,1.98572,2.44759,3,0
73,1.93891,2.44083,3,0
74,1.95772,2.45357,3,0
75,1.96672,2.45228,3,0
76,1.9953,2.415,3,0
77,1.98109,2.48211,3,0
78,1.99174,2.449,3,0
79,2.0323,2.45203,3,0
80,1.99294,2.46952,3,0
81,1.97624,2.44423,3,0
82,1.97858,2.45766,3,0
83,1.99859,2.44925,3,0
84,1.95493,2.44227,3,0
85,1.97001,2.43006,3,0
86,1.96464,2.42378,3,0
87,1.95389,2.45483,3,0
88,1.96436,2.42481,3,0
89,1.97977,2.41254,3,0
90,1.98152,2.42159,3,0
91,2.01555,2.44372,3,0
92,1.97029,2.4195,3,0
93,1.94352,2.46585,3,0
94,2.00038,2.4424,3,0
95,1.99411,2.42784,3,0
96,1.98571,2.44284,3,0
97,2.00598,2.44313,3,0
98,1.9914,2.45209,3,0
99,1.99639,2.46395,3,0
100,1.97969,2.41115,3,0
101,1.98427,2.43119,3,0
102,1.99019,2.44475,3,0
103,1.94049,2.43481,3,0
104,1.96185,2.45253,3,0
105,2.00477,2.46095,3,0
106,1.95008,2.47234,3,0
107,1.98403,2.43836,3,0
108,1.9598,2.4565,3,0
109,1.96618,2.45066,3,0
110,2.0035,2.45155,3,0
111,2.01712,2.43889,3,0
112,2.01226,2.39862,3,0
113,1.98053,2.45277,3,0
114,1.97369,2.45003,3,0
115,1.96994,2.47805,3,0
116,1.9705,2.44104,3,0
117,2.00103,2.43629,3,0
118,1.92305,2.4432,3,0
119,1.98705,2.45562,3,0
120,1.97159,2.43798,3,0
121,1.95959,2.46226,3,0
122,1.97166,2.41686,3,0
123,1.99445,2.4611,3,0
124,1.98147,2.46585,3,0
