u,v
0,503
0,616
0,552
0,316
0,11
0,22
0,312
0,37
0,27
0,7
0,29
0,3
0,28
0,10
1,15
1,9
1,14
1,45
1,21
1,4
1,6
1,29
1,305
1,19
1,316
1,40
1,28
2,33
2,517
2,21
2,19
2,35
2,24
2,45
2,34
2,12
2,9
2,42
3,39
3,22
3,37
3,14
3,18
3,41
3,30
3,297
3,21
3,4
3,23
3,12
3,420
4,33
4,15
4,5
4,517
4,44
4,9
4,20
4,42
4,514
4,415
4,23
5,312
5,48
5,25
5,7
5,6
5,45
5,12
5,37
5,26
5,20
5,38
5,19
6,12
6,35
6,8
6,514
6,7
6,37
6,42
6,38
6,43
6,10
7,9
7,584
7,13
7,30
7,25
7,29
7,503
7,20
7,22
8,13
8,30
8,15
8,37
8,12
8,34
8,29
8,40
9,39
9,13
9,15
9,41
9,514
9,43
9,32
9,29
9,37
9,48
9,12
10,48
10,33
10,12
10,300
11,611
11,48
11,38
11,15
11,313
11,14
11,27
11,21
11,316
11,317
11,41
11,30
12,22
12,16
12,30
12,37
12,23
12,32
12,21
12,20
12,31
12,514
12,624
13,15
13,18
13,40
13,34
13,23
13,309
14,39
14,514
14,25
14,509
14,23
15,18
15,21
15,624
15,317
15,495
16,39
16,43
16,30
16,22
16,517
16,27
16,31
16,42
17,611
17,18
17,38
17,27
17,24
17,44
17,505
18,30
18,517
18,21
18,35
18,420
18,48
19,315
19,517
19,32
19,27
19,42
20,514
21,315
21,316
21,22
21,514
21,501
21,301
21,24
21,44
22,496
22,312
22,42
22,508
22,38
22,29
23,585
23,30
23,27
23,29
23,34
23,35
23,25
23,49
23,37
23,24
24,514
24,47
24,40
24,505
24,309
25,623
25,35
25,39
25,41
25,514
25,32
25,45
25,517
25,44
25,47
25,27
26,37
26,27
26,44
26,38
27,32
27,29
27,48
27,33
28,623
28,32
28,316
29,509
29,261
29,40
30,33
30,43
30,32
30,420
30,41
30,31
30,47
31,501
31,33
31,316
31,514
31,45
31,610
32,623
32,43
32,44
32,34
33,45
33,47
33,514
33,37
33,49
34,37
34,252
35,312
35,514
35,38
35,509
36,618
37,488
38,41
38,48
