u,v
0,13
0,2
0,22
0,11
0,5
0,29
0,15
0,4
0,20
0,174
1,34
1,20
1,33
1,39
1,6
1,5
1,18
1,29
1,24
2,15
2,35
2,27
2,7
2,176
2,10
2,25
3,22
3,21
3,14
4,34
4,24
4,21
5,20
5,18
5,29
5,32
5,34
5,30
6,35
6,24
6,38
6,39
6,28
6,30
7,37
7,19
7,27
7,16
7,18
7,11
7,25
7,31
7,9
7,32
8,18
8,38
8,23
9,39
9,37
9,34
9,13
9,30
9,22
10,105
10,39
10,19
10,20
10,29
10,12
10,34
10,23
10,27
11,15
11,29
11,38
11,13
11,178
12,17
12,22
12,18
12,30
13,27
13,16
13,36
13,29
13,176
13,24
14,177
14,17
14,22
14,19
14,31
15,28
15,27
15,16
16,36
16,30
16,37
16,18
17,39
17,29
18,31
19,114
19,34
19,35
19,31
19,22
19,176
19,29
20,37
20,36
20,177
21,36
21,171
21,38
22,177
22,33
23,25
23,33
24,25
24,179
25,31
25,27
25,38
25,28
25,177
25,29
27,179
28,33
28,32
29,31
29,32
30,31
30,38
31,37
32,177
32,36
32,39
32,171
33,39
34,36
34,37
35,176
35,177
36,179
39,140
40,73
40,57
40,44
41,63
41,44
41,66
41,60
41,53
41,75
41,48
42,69
42,55
42,62
42,46
42,79
42,49
43,77
43,72
43,50
43,47
43,69
43,49
44,69
44,57
44,70
44,54
44,71
44,75
44,62
45,50
45,73
45,58
46,49
46,52
46,74
46,73
46,62
46,57
47,60
47,63
47,48
48,55
48,58
48,49
48,79
48,156
49,77
49,50
49,73
49,67
49,59
49,79
49,64
50,79
50,55
50,58
50,61
50,152
50,60
50,71
51,73
51,75
51,61
52,77
52,79
52,54
52,70
52,75
53,55
53,75
53,76
54,64
54,60
54,70
54,58
54,72
55,73
55,66
55,76
55,72
55,75
55,67
56,79
56,72
56,70
56,71
57,69
57,58
57,76
57,77
57,73
58,77
58,60
58,73
58,68
58,61
58,67
59,66
59,64
60,64
60,79
60,69
60,65
60,76
61,63
61,69
61,77
61,66
61,65
62,75
62,71
62,66
63,68
63,69
64,77
64,79
66,75
66,72
67,70
68,79
68,75
68,78
69,154
71,76
71,77
72,79
73,74
73,77
78,79
80,86
80,92
81,90
81,99
81,98
81,97
82,92
82,94
83,89
84,86
84,91
85,86
85,92
85,87
86,93
86,97
87,97
88,99
88,98
89,93
89,92
89,90
89,94
89,98
90,98
90,96
92,94
94,98
100,109
100,107
100,117
100,101
102,116
103,112
103,107
103,118
104,197
104,106
105,117
107,110
108,113
108,118
109,112
110,114
111,118
112,113
113,118
120,124
121,122
121,135
122,129
122,124
122,134
122,137
122,131
122,132
123,138
123,128
123,135
123,125
124,131
124,137
125,129
125,139
125,126
125,135
126,132
126,131
126,133
126,138
127,130
127,134
127,137
127,136
128,136
128,133
128,138
130,137
132,133
133,139
133,136
140,143
157,158
158,159
160,166
160,161
163,164
165,168
165,166
170,173
174,179
176,179
180,184
181,189
183,188
190,213
196,207
196,197
207,208
