u,v
0,184
0,197
0,147
0,83
0,177
0,39
0,13
0,102
0,8
0,125
0,31
0,24
0,71
0,25
0,191
0,144
0,29
0,15
0,84
0,4
0,92
0,21
0,18
0,134
0,87
0,1
0,19
1,197
1,140
1,8
1,149
1,26
1,14
1,108
1,204
1,16
1,29
1,104
1,10
1,24
1,178
1,30
1,41
1,87
1,179
1,107
1,176
1,32
1,4
1,146
1,169
2,63
2,39
2,16
2,34
2,23
2,44
2,21
2,101
2,147
2,32
2,7
2,18
2,52
2,29
2,95
2,84
2,65
2,134
3,207
3,104
3,115
3,144
3,67
3,12
3,107
3,15
3,36
3,177
3,105
3,82
3,110
3,63
3,178
3,213
3,166
3,120
3,28
3,7
3,30
3,165
3,4
3,147
3,170
3,87
4,104
4,101
4,119
4,17
4,111
4,59
4,12
4,163
4,22
4,18
4,143
4,5
4,30
4,14
4,61
4,84
4,47
4,23
4,138
4,118
4,132
5,185
5,42
5,22
5,16
5,18
5,8
5,169
5,31
5,32
5,9
5,21
5,98
5,20
5,135
5,171
5,83
5,128
6,108
6,140
6,60
6,45
6,24
6,71
6,15
6,26
6,12
6,35
6,36
6,34
6,11
6,17
6,178
6,90
6,97
6,7
6,124
6,30
6,96
6,85
6,20
6,89
6,133
6,29
6,121
7,197
7,116
7,102
7,148
7,20
7,30
7,67
7,136
7,21
7,37
7,152
7,175
7,12
7,173
7,163
7,94
7,190
7,86
7,26
8,181
8,187
8,19
8,148
8,33
8,47
8,24
8,28
8,18
8,133
8,179
8,92
8,122
8,107
8,61
8,38
8,149
8,11
9,185
9,116
9,48
9,12
9,15
9,26
9,40
9,17
9,206
9,18
9,30
9,171
9,33
9,172
9,31
9,21
9,34
9,14
9,28
9,160
9,39
9,16
9,85
10,147
10,69
10,60
10,62
10,17
10,34
10,114
10,22
10,20
10,38
10,30
10,164
10,35
10,208
10,24
10,167
10,18
10,128
10,125
11,56
11,207
11,66
11,105
11,58
11,177
11,180
11,39
11,198
11,57
11,34
11,22
11,165
11,24
11,140
11,46
11,92
11,23
11,25
11,14
11,174
11,120
11,30
11,31
11,144
11,75
12,100
12,177
12,17
12,13
12,18
12,33
12,38
12,121
12,28
12,163
12,55
12,78
12,23
12,92
12,14
12,208
12,114
12,91
12,49
13,145
13,100
13,146
13,26
13,37
13,19
13,27
13,113
13,21
13,105
13,36
13,110
13,179
13,171
13,114
13,160
13,23
13,161
13,70
13,139
13,167
14,115
14,43
14,141
14,26
14,17
14,19
14,74
14,28
14,21
14,79
14,171
14,147
14,170
14,162
14,172
14,128
14,196
14,81
15,196
15,109
15,102
15,19
15,16
15,36
15,103
15,34
15,172
15,170
15,28
15,138
15,25
15,18
15,179
15,141
15,26
15,165
16,111
16,52
16,63
16,17
16,35
16,59
16,151
16,184
16,23
16,145
16,30
16,126
16,172
16,101
16,170
16,32
16,179
16,25
17,196
17,110
17,143
17,73
17,26
17,175
17,128
17,34
17,165
17,24
17,93
17,136
17,89
17,142
17,39
17,37
17,130
18,140
18,40
18,142
18,114
18,119
18,72
18,65
18,39
18,22
18,178
18,30
18,174
18,197
18,56
18,170
18,115
18,162
18,146
18,102
18,176
18,50
18,27
19,117
19,142
19,42
19,26
19,20
19,170
19,29
19,30
19,162
19,21
19,94
19,33
19,127
19,91
19,178
19,201
19,175
19,82
19,118
19,24
19,125
19,109
20,100
20,35
20,23
20,32
20,174
20,136
20,39
20,131
20,85
20,96
20,111
20,29
20,98
20,87
20,171
20,28
21,206
21,212
21,104
21,105
21,187
21,140
21,147
21,79
21,141
21,26
21,22
21,170
21,29
21,178
21,149
21,172
21,179
21,127
21,130
21,30
21,99
21,25
22,197
22,117
22,140
22,146
22,77
22,36
22,177
22,59
22,25
22,24
22,178
22,142
22,95
22,168
22,28
22,122
22,92
22,138
22,144
22,98
22,137
23,145
23,37
23,156
23,70
23,24
23,176
23,33
23,171
23,164
23,25
23,105
23,149
23,81
23,169
24,193
24,108
24,119
24,26
24,104
24,35
24,36
24,32
24,29
24,170
24,89
24,137
24,31
24,139
25,106
25,100
25,105
25,178
25,104
25,173
25,171
25,203
25,108
25,39
25,114
25,195
25,103
26,199
26,105
26,116
26,41
26,76
26,39
26,27
26,156
26,179
26,174
26,33
26,30
26,171
26,92
26,137
26,36
26,32
27,145
27,106
27,114
27,144
27,57
27,54
27,36
27,108
27,39
27,51
27,166
27,28
27,94
27,147
27,78
27,35
28,209
28,207
28,199
28,145
28,148
28,62
28,29
28,178
28,36
28,174
28,149
28,34
28,126
28,88
28,176
28,35
28,31
29,188
29,177
29,35
29,30
29,171
29,170
29,82
29,161
29,158
29,47
29,209
29,140
29,163
29,133
30,115
30,40
30,38
30,174
30,177
30,199
30,56
30,206
30,101
30,189
30,95
30,121
30,93
31,187
31,111
31,148
31,48
31,38
31,189
31,51
31,166
31,108
31,200
31,131
31,46
31,138
31,165
31,126
31,32
32,101
32,119
32,114
32,172
32,175
32,162
32,139
32,181
32,167
32,156
32,133
33,199
33,143
33,79
33,56
33,34
33,36
33,178
33,38
33,129
33,35
33,176
33,53
33,146
33,99
33,40
33,87
33,134
33,88
33,64
33,141
33,95
33,196
33,102
34,65
34,177
34,37
34,193
34,101
34,103
34,35
34,81
34,127
34,109
34,63
34,167
35,109
35,37
35,176
35,173
35,174
35,99
35,171
35,116
35,139
35,98
35,204
36,119
36,170
36,76
36,48
36,177
36,89
36,174
36,80
36,87
36,169
36,161
36,118
36,38
36,52
37,119
37,118
37,140
37,111
37,42
37,153
37,98
37,80
37,126
37,69
37,39
38,195
38,112
38,115
38,147
38,149
38,64
38,70
38,177
38,178
38,107
38,176
38,175
38,104
38,171
38,95
38,146
38,166
38,96
39,209
39,113
39,102
39,146
39,59
39,81
39,98
39,121
39,72
39,49
39,140
39,92
39,201
39,205
40,212
40,143
40,149
40,50
40,144
40,116
40,47
40,72
40,84
40,61
40,69
40,46
40,43
40,158
40,64
41,214
41,106
41,69
41,79
41,45
41,62
41,146
41,77
41,54
41,144
41,75
41,140
41,71
41,44
41,105
41,59
41,111
41,157
41,127
41,55
41,78
42,63
42,144
42,47
42,55
42,62
42,195
42,57
42,99
42,76
42,173
42,58
42,84
42,189
42,74
42,82
43,68
43,53
43,77
43,72
43,213
43,70
43,175
43,76
43,173
44,197
44,65
44,76
44,78
44,67
44,93
44,83
44,73
44,96
44,190
44,52
44,75
44,97
44,46
44,178
45,68
45,66
45,70
45,71
45,48
45,59
45,51
45,196
45,150
45,159
45,165
45,201
45,61
45,52
45,75
46,193
46,50
46,72
46,62
46,70
46,76
46,163
46,94
46,48
46,74
46,155
46,52
46,75
46,113
47,208
47,72
47,57
47,61
47,78
47,151
47,52
47,75
47,167
47,98
47,152
47,83
47,71
47,94
47,150
47,50
48,60
48,75
48,210
48,49
48,74
48,90
48,159
48,191
48,99
48,88
48,89
48,156
48,59
48,54
48,55
48,78
49,205
49,206
49,114
49,64
49,52
49,66
49,57
49,151
49,76
49,153
49,212
49,120
49,81
49,58
49,63
49,201
49,55
49,78
50,56
50,122
50,76
50,70
50,202
50,78
50,67
50,58
50,69
51,72
51,61
51,90
51,80
51,203
51,177
51,63
51,96
52,63
52,79
52,60
52,55
52,65
52,57
52,144
52,75
52,58
52,158
52,153
52,141
52,72
52,95
52,71
53,205
53,150
53,71
53,159
53,171
53,85
53,125
53,142
54,69
54,157
54,124
54,70
54,87
54,159
55,115
55,60
55,65
55,88
55,70
55,59
55,62
55,85
55,67
56,60
56,72
56,208
56,70
56,61
56,59
56,155
56,65
56,88
56,157
56,62
56,131
56,74
56,64
57,214
57,207
57,115
57,69
57,79
57,199
57,61
57,66
57,158
57,159
57,72
57,124
57,60
57,152
57,97
58,69
58,79
58,158
58,156
58,67
58,155
58,83
58,70
58,93
58,75
58,65
58,195
59,171
59,77
59,141
59,72
59,75
59,74
59,86
59,161
59,67
59,90
59,196
59,129
59,64
59,62
59,63
59,142
59,73
60,68
60,192
60,77
60,65
60,145
60,76
60,61
60,67
60,96
60,71
60,78
60,87
60,127
61,67
61,159
61,154
61,156
61,179
61,153
61,157
61,163
61,92
61,91
61,138
61,83
