u,v
0,48
1,3
3,33
4,624
4,34
5,44
6,517
8,44
9,43
11,503
14,46
15,519
18,48
18,23
18,21
21,38
26,518
27,40
28,38
29,40
30,37
33,39
35,43
36,315
37,46
37,38
39,46
39,48
41,251
43,46
47,519
50,77
50,86
50,588
51,60
52,77
52,95
53,68
54,69
57,75
57,77
58,84
59,75
59,93
60,89
61,555
62,85
64,88
64,82
65,86
66,67
66,95
66,76
66,83
67,82
68,95
69,73
69,422
69,554
69,79
70,475
71,87
73,77
73,94
74,422
75,98
81,92
83,581
86,95
88,97
89,477
92,552
92,476
96,477
96,588
101,382
102,104
103,146
105,107
107,138
107,578
107,119
108,123
109,113
111,138
111,568
112,115
113,148
114,136
114,124
116,566
116,147
117,122
118,567
118,577
119,143
123,139
124,136
125,138
126,134
127,284
128,283
133,146
138,148
140,578
142,285
148,569
151,196
152,520
152,181
155,188
157,179
158,162
160,186
162,185
162,167
163,167
165,549
166,184
167,191
168,179
169,192
169,548
175,191
177,530
179,530
179,335
185,531
186,191
192,196
200,244
200,208
201,226
201,239
202,341
203,222
203,215
203,223
203,228
204,216
205,232
205,213
206,246
206,242
206,239
208,213
209,239
210,350
210,367
211,361
212,221
212,366
213,274
213,239
216,227
216,229
220,227
222,385
222,237
223,365
223,241
223,246
223,239
226,271
228,540
228,237
229,277
231,244
232,596
233,279
238,395
241,244
242,605
242,368
244,395
244,245
247,272
249,606
255,516
260,262
266,606
269,274
272,609
275,598
279,396
280,290
302,380
304,516
314,621
317,323
322,613
324,500
325,336
327,534
329,523
329,338
336,339
340,454
342,473
343,385
351,354
360,596
362,365
365,540
376,481
376,384
393,395
408,474
410,468
415,479
416,424
419,483
423,482
427,475
428,485
441,445
446,457
460,462
462,470
480,485
490,614
491,514
493,616
497,619
502,620
518,519
525,526
525,529
542,597
542,580
553,557
555,560
561,602
561,590
580,590
580,586
